Name,BSE Code,NSE Code,Industry,Market Capitalization
EIH,500840,EIHOTEL,Hotels & Resorts,21417.97
Sun TV Network,532733,SUNTV,TV Broadcasting & Software Production,21308.09
Firstsour.Solu.,532809,FSL,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),21094.83
Piramal Pharma,543635,PPLPHARMA,Pharmaceuticals,21037.77
Sumitomo Chemi.,542920,SUMICHEM,Pesticides & Agrochemicals,21037.71
Redington,532805,REDINGTON,Trading & Distributors,20941.02
Prime Focus,532748,PFOCUS,Media & Entertainment,20695.14
CreditAcc. Gram.,541770,CREDITACC,Microfinance Institutions,20666.06
Aadhar Hsg. Fin.,544176,AADHARHFC,Housing Finance Company,20499.04
CESC,500084,CESC,Integrated Power Utilities,20448.1
Hatsun Agro,531531,HATSUN,Dairy Products,20177.77
Bayer Crop Sci.,506285,BAYERCROP,Pesticides & Agrochemicals,20039.65
Anant Raj,515055,ANANTRAJ,"Residential, Commercial Projects",19706.84
N S D L,544467,,"Depositories, Clearing Houses and Other Intermediaries",19588
ERIS Lifescience,540596,ERIS,Pharmaceuticals,19575.42
G M D C,532181,GMDCLTD,Industrial Minerals,19523.61
Sundram Fasten.,500403,SUNDRMFAST,Auto Components & Equipments,19456.08
Pun. & Sind Bank,533295,PSB,Public Sector Bank,19342.54
JSW Holdings,532642,JSWHL,Investment Company,19331.12
Kalpataru Proj.,522287,KPIL,Civil Construction,18935.8
Brigade Enterpr.,532929,BRIGADE,"Residential, Commercial Projects",18889.35
Cube Highways,543899,CUBEINVIT,"Road AssetsToll, Annuity, Hybrid-Annuity",18816.98
RBL Bank,540065,RBLBANK,Private Sector Bank,18796.64
Jyoti CNC Auto.,544081,JYOTICNC,Industrial Products,18763.32
Craftsman Auto,543276,CRAFTSMAN,Auto Components & Equipments,18700.97
Sarda Energy,504614,SARDAEN,Iron & Steel,18667.57
Chalet Hotels,542399,CHALET,Hotels & Resorts,18666.52
Syngene Intl.,539268,SYNGENE,"Healthcare Research, Analytics & Technology",18536.64
IndiGrid Trust,540565,INDIGRID,Power - Transmission,18525.67
Grindwell Norton,506076,GRINDWELL,Abrasives & Bearings,18505.74
Inox Wind,539083,INOXWIND,Heavy Electrical Equipment,18489.03
Atul,500027,ATUL,Specialty Chemicals,18383.76
Castrol India,500870,CASTROLIND,Lubricants,18372.82
Cams Services,543232,CAMS,"Depositories, Clearing Houses and Other Intermediaries",18136.71
Ventive Hospital,544321,VENTIVE,Hotels & Resorts,18114.29
Tata Chemicals,500770,TATACHEM,Commodity Chemicals,18080.33
GE Shipping Co,500620,GESHIP,Shipping,18077.21
DCM Shriram,523367,DCMSHRIRAM,Diversified,18023.01
Urban Company,544515,URBANCO,E-Retail/ E-Commerce,17983.32
Kansai Nerolac,500165,KANSAINER,Paints,17640.58
Netweb Technol.,543945,NETWEB,IT Enabled Services,17604.92
Schneider Elect.,534139,SCHNEIDER,Heavy Electrical Equipment,17530.28
Century Plyboard,532548,CENTURYPLY,Plywood Boards/ Laminates,17439.74
Kirloskar Oil,533293,KIRLOSENG,"Compressors, Pumps & Diesel Engines",17424.49
Bharat Coking,544678,BHARATCOAL,Coal,17403.27
Aditya Infotech,544466,CPPLUS,Industrial Products,17392.27
Choice Intl.,531358,CHOICEIN,Holding Company,17299.57
Fractal Analyt.,,,,17284
Godawari Power,532734,GPIL,Iron & Steel Products,17231.76
Sai Life,544306,SAILIFE,Pharmaceuticals,17127.68
Chambal Fert.,500085,CHAMBLFERT,Fertilizers,17123.93
KFin Technolog.,543720,KFINTECH,"Depositories, Clearing Houses and Other Intermediaries",17097.49
Neuland Labs.,524558,NEULANDLAB,Pharmaceuticals,16948.86
Guj.St.Petronet,532702,GSPL,Gas Transmission/Marketing,16934.82
JSW Cement,544480,JSWCEMENT,Cement & Cement Products,16838.83
LMW,500252,LMW,Industrial Products,16751.59
PG Electroplast,533581,PGEL,Consumer Electronics,16689.72
